emp_id,first_name,last_name,gender,dob,department,site,contract,hire_date,leave_date,salary
28,Paul,Guyot,M,1984-07-05,IT,Nantes,CDD,2022-12-20,,3462
29,Hugues,Boulay,M,1988-01-27,Ops,Lyon,CDI,2022-04-25,,2779
30,Renée,Camus,F,1974-06-17,Ops,Lyon,CDD,2024-11-08,,2995
31,Sabine,Legrand,F,1971-04-09,Marketing,Marseille,Alternance,2024-02-08,,2778
32,Marcelle,Da Silva,F,1999-01-25,Finance,Paris,CDI,2025-08-28,,4496
33,Jean,Meyer,M,1998-07-23,Finance,Paris,CDI,2025-08-01,,3190
34,David,Hebert,M,1993-07-09,Finance,Lyon,CDI,2025-05-22,,2459
35,Madeleine,Daniel,F,1971-02-24,RH,Nantes,CDI,2023-04-24,,3775
36,Zacharie,Salmon,M,2000-10-09,IT,Lyon,CDI,2024-06-19,,2345
37,Marthe,Dijoux,F,1965-11-29,Ventes,Paris,CDI,2025-08-28,,3346
38,Denis,Raymond,M,1972-08-07,IT,Paris,CDI,2025-04-28,,1828
39,Stéphane,Diallo,M,1974-10-07,RH,Lyon,CDI,2025-05-31,,2270
40,Alexandre,Grenier,M,1985-05-11,Finance,Nantes,CDI,2022-06-03,,3337
41,Guy,Lefèvre,M,1988-02-14,Ops,Lyon,CDI,2022-12-06,,3716
42,Susan,Joseph,F,1973-02-14,IT,Paris,CDI,2025-04-08,,3319
43,Marc,Besnard,M,1971-06-01,Ventes,Marseille,CDI,2025-06-21,,3119
44,Zoé,De Sousa,F,1972-10-14,Ventes,Paris,CDI,2025-02-05,,2989
45,Hugues,Lopes,M,1997-02-08,Finance,Nantes,CDI,2022-11-25,,2165
46,Franck,Daniel,M,1974-03-18,Finance,Lyon,CDI,2022-11-04,,2696
47,Honoré,Morvan,M,1981-09-25,Ventes,Paris,Alternance,2024-06-30,,2877
48,Olivier,Guillot,M,1983-09-14,Finance,Paris,CDI,2023-11-21,,3939
49,Dominique,Caron,F,1999-10-18,Ventes,Lille,CDI,2024-10-29,,3440
50,Élise,Lemaire,F,1982-07-30,Ventes,Paris,CDI,2025-07-29,,1965
51,Gilbert,Vallet,M,1967-11-19,Marketing,Lyon,Alternance,2025-07-12,,3426
52,Guillaume,Richard,M,1981-02-17,Ventes,Lyon,CDI,2023-11-17,,2930
53,Marine,Thibault,F,1972-01-22,Ops,Nantes,CDI,2022-12-16,,2726
54,Josette,Blanchet,F,1969-04-02,Finance,Lyon,CDI,2024-03-11,,3628
55,Noël,Alves,M,1971-04-19,RH,Lille,CDI,2024-06-10,,3921
56,Aurélie,Dubois,F,1999-08-14,Marketing,Lille,CDI,2022-03-10,,3851
57,Brigitte,Vallet,F,1980-04-01,IT,Paris,CDI,2024-01-24,,2612
58,Susanne,Roche,F,1982-08-18,IT,Lille,CDI,2023-08-23,,2983
59,Lucy,Marion,F,1996-01-06,Ventes,Paris,CDI,2023-06-03,,3431
60,Bertrand,Becker,M,2002-06-09,IT,Nantes,CDI,2022-03-05,,3882
61,Jeannine,Tanguy,F,1993-06-13,Ventes,Paris,Alternance,2025-03-16,,2864
62,Gilbert,Traore,M,1966-03-16,IT,Lille,CDD,2024-02-27,,3070
63,Nath,Gilbert,F,1997-05-30,IT,Lyon,Alternance,2023-09-24,,2425
64,André,Raynaud,M,1992-11-03,Finance,Lille,CDD,2024-07-12,,2362
65,Sabine,Baron,F,1980-01-24,IT,Lyon,CDI,2022-06-17,,3768
66,Bertrand,Dufour,M,1975-04-05,Finance,Marseille,CDI,2025-03-12,,4149
67,Cécile,Pineau,F,1980-02-17,IT,Lyon,CDI,2022-06-17,,3149
68,Guillaume,Lebon,M,1987-08-26,Ventes,Paris,Stage,2022-11-23,,3902
69,Jacqueline,Thomas,F,2003-05-28,Marketing,Nantes,CDI,2022-10-27,,3453
70,Bernard,Baron,M,1977-04-26,RH,Lille,CDI,2025-07-06,,2748
71,Monique,Blanchet,F,1967-12-15,IT,Marseille,CDI,2023-05-14,,3452
72,Stéphane,Blot,M,1991-06-27,Marketing,Lille,CDI,2023-05-07,,4276
73,Nathalie,Thomas,F,1985-05-28,IT,Lyon,CDI,2022-08-02,,3174
74,Laurent,Parent,M,1970-09-01,Ops,Nantes,CDI,2025-04-14,,4295
75,Matthieu,Labbé,M,1995-03-09,Ventes,Lille,CDI,2023-05-07,,1366
76,Anne,Raynaud,F,1965-11-29,Ventes,Lyon,CDI,2025-06-18,,3775
77,Danielle,Hebert,F,1992-04-19,Ops,Nantes,CDI,2023-11-22,,3260
78,Claire,Foucher,F,1971-04-08,Finance,Lille,CDI,2024-01-07,,2990
79,Antoinette,Girard,F,1995-12-10,Ventes,Lyon,CDI,2024-03-03,,3264
80,Augustin,Petitjean,M,1984-10-23,Ventes,Nantes,CDI,2022-11-03,,1808
81,Philippe,Chauveau,M,1967-05-05,Ventes,Lyon,CDI,2023-02-10,,3046
82,Augustin,Hoarau,M,1979-07-18,Ventes,Paris,CDI,2023-04-12,,3449
83,Richard,Lesage,M,1997-03-31,Ventes,Marseille,CDI,2024-04-19,,4234
84,Aimé,Techer,M,1995-11-21,IT,Paris,CDD,2024-07-18,,2837
85,Vincent,De Sousa,M,2000-05-01,Ventes,Nantes,CDI,2025-04-08,,2634
86,Alfred,Lemonnier,M,1994-03-10,IT,Nantes,Stage,2024-07-06,,2848
87,Anne,Rey,F,1996-11-26,IT,Nantes,CDD,2022-05-25,,3840
88,Corinne,Paul,F,1992-06-30,Marketing,Lyon,CDD,2023-08-21,,3430
89,Simone,Dupré,F,1968-08-24,IT,Lille,CDD,2024-02-14,,2829
90,Constance,Rousseau,F,1984-10-11,Ventes,Paris,CDD,2023-05-16,,3559
91,Luc,Besson,M,1975-01-21,Ventes,Nantes,CDI,2022-09-19,,3267
92,Émile,Fischer,M,1973-10-05,IT,Lyon,CDI,2023-03-16,,3878
93,Constance,Pelletier,F,1970-03-14,Ventes,Paris,CDI,2024-05-16,,2708
94,Hélène,Thierry,F,1971-09-23,IT,Paris,Alternance,2024-09-17,,2970
95,Nicole,Navarro,F,2000-10-05,Ops,Lille,CDD,2022-09-07,,2925
96,Michèle,Gomes,F,1990-12-14,IT,Nantes,Alternance,2023-07-04,,2175
97,Frédérique,Guillon,F,1969-03-09,Ventes,Paris,CDI,2024-04-04,,3407
98,Claire,Le Roux,F,1996-07-13,IT,Lyon,Stage,2022-11-09,,3382
99,Eugène,Colin,M,2002-10-15,Marketing,Paris,CDI,2025-07-05,,3203
100,Noémi,Duval,F,1978-10-12,RH,Lille,CDI,2022-10-17,,3035
101,Benoît,Chevallier,M,1992-10-20,Ventes,Marseille,CDI,2024-01-29,,2209
102,Claire,Bouvier,F,1976-02-09,Finance,Paris,CDD,2023-09-11,,2905
103,Frédéric,Neveu,M,1977-12-15,Ventes,Paris,CDD,2022-07-07,,2960
104,Lucas,Maillot,M,1964-10-26,Ops,Lyon,CDD,2023-09-04,,2638
105,Sébastien,Morin,M,1986-08-02,Ventes,Paris,CDI,2022-06-24,,3087
106,Maurice,Hernandez,M,1979-12-18,Ventes,Lille,CDI,2025-03-26,,3482
107,Éric,Gilbert,M,1971-09-23,RH,Lille,CDI,2023-08-19,,4520
108,Paul,Clerc,M,1988-07-17,Marketing,Marseille,CDI,2023-07-02,,3322
109,Michel,Reynaud,M,1966-12-11,Finance,Lille,Alternance,2023-11-25,2025-08-03,3380
110,Richard,Diaz,M,1998-04-22,Marketing,Paris,CDI,2023-12-09,,3147
111,Christine,Lebon,F,1987-04-14,Finance,Lille,CDI,2024-10-26,,1856
112,Dorothée,Giraud,F,1977-05-04,Finance,Lille,CDI,2022-05-12,,3181
113,Éléonore,Fabre,F,1978-07-08,Ventes,Nantes,Stage,2024-05-12,,3242
114,Christelle,Gilbert,F,1989-12-08,Ops,Marseille,CDI,2022-05-03,,4924
115,Brigitte,Lévêque,F,1971-03-09,Ventes,Paris,CDI,2022-03-13,,3065
116,Stéphanie,Guillet,F,1980-03-05,Ventes,Nantes,CDI,2025-01-27,,3411
117,Suzanne,Delattre,F,1977-08-03,RH,Lyon,CDI,2025-08-08,,3175
118,Renée,Roche,F,1966-02-15,IT,Lille,CDI,2024-02-12,,2381
119,Maurice,Traore,M,1971-05-27,Ventes,Lyon,CDI,2025-08-05,,3999
120,Pauline,Hernandez,F,1989-06-03,Finance,Lille,CDI,2022-04-20,,3726
121,David,Thibault,M,1967-01-11,Marketing,Marseille,CDI,2025-05-10,,3753
122,Arnaude,Hamel,F,1974-08-28,IT,Lille,CDI,2024-11-03,,2563
123,Céline,Julien,F,1984-09-14,Ventes,Paris,CDD,2025-01-10,,4181
124,Susan,Perez,F,1975-03-05,Ops,Lyon,CDI,2024-06-06,,2218
125,Marine,Colin,F,1974-01-02,Marketing,Nantes,CDI,2024-12-17,,3610
126,Sébastien,Marchand,M,1981-09-21,Ventes,Lille,CDI,2023-07-21,,4733
127,Maurice,Allain,M,1984-05-02,RH,Paris,Stage,2022-07-27,,2506
128,Élise,Clément,F,1966-04-24,RH,Marseille,CDI,2022-11-16,,2803
129,Jean,Fournier,M,1973-07-24,Ventes,Marseille,CDI,2024-03-05,,3269
130,Lucas,Martinez,M,1987-08-18,IT,Paris,CDD,2022-10-19,,2847
131,Claire,Ribeiro,F,2002-09-26,Marketing,Paris,CDI,2024-08-05,,2114
132,Hélène,Teixeira,F,1994-07-29,Finance,Marseille,CDI,2023-07-16,2025-04-04,3247
133,Théophile,Poirier,M,1996-10-29,Ventes,Marseille,CDI,2024-02-07,,2456
134,Susanne,Bouvier,F,1997-01-24,Marketing,Nantes,Stage,2023-04-16,,3531
135,Robert,Bernier,M,1975-06-09,Ventes,Lyon,CDI,2025-01-11,,2556
136,Robert,Rousseau,M,1986-07-14,Marketing,Lyon,CDI,2024-09-10,,4284
137,Bernadette,Normand,F,1988-04-24,Ventes,Paris,CDI,2024-12-20,,2651
138,Camille,Lacombe,F,2001-12-12,Ventes,Lyon,Alternance,2022-12-26,,2974
139,Joseph,Maréchal,M,1972-11-02,Marketing,Lyon,Alternance,2022-04-06,,3769
140,Théodore,Joseph,M,1988-01-26,IT,Nantes,CDD,2023-07-11,2024-10-12,2338
141,Diane,Leconte,F,1980-01-29,Ventes,Lille,CDI,2025-01-20,,3359
142,Suzanne,Julien,F,1968-11-20,Ventes,Paris,CDI,2023-02-25,,4114
143,Jacqueline,Navarro,F,1995-08-25,Marketing,Paris,CDI,2025-05-31,,2074
144,Maurice,Gonzalez,M,1978-03-01,IT,Lille,CDI,2025-05-25,,3329
145,Léon,Gonzalez,M,1985-04-06,IT,Lille,CDI,2022-06-06,,3381
146,Hortense,Klein,F,1974-04-09,Ventes,Paris,CDI,2022-06-13,,3747
147,Alix,Colin,F,2002-11-06,IT,Lyon,CDI,2023-06-21,,2334
148,Agathe,Petitjean,F,1969-05-09,Ops,Nantes,CDI,2022-03-05,,2275
149,Richard,Raynaud,M,1999-04-13,Ventes,Marseille,Alternance,2024-03-20,,3565
150,Emmanuel,Caron,M,1972-08-26,Marketing,Marseille,CDI,2023-04-26,,3407
151,Alexandria,Legrand,F,1966-01-06,Ventes,Marseille,CDD,2024-01-21,,3375
152,Frédéric,Chauvin,M,1999-10-04,RH,Lille,CDI,2022-09-25,,3442
153,Claudine,Baudry,F,1978-03-01,IT,Lyon,CDI,2022-11-09,,2723
154,Daniel,Charpentier,M,1986-08-16,Finance,Paris,CDI,2024-03-04,,3362
155,Raymond,Bonnet,M,1987-01-24,RH,Lille,CDI,2022-07-13,,3405
156,Louise,Renaud,F,1981-08-05,Ventes,Marseille,CDI,2023-05-20,,2699
157,Thibaut,Mathieu,M,1968-02-03,Ops,Nantes,CDD,2024-01-10,,4506
158,Eugène,Guibert,M,1994-09-16,Ventes,Marseille,CDI,2024-06-12,,3531
159,Nicole,Laine,F,1977-10-26,Ventes,Lille,CDD,2024-05-10,,2366
160,Élise,Fernandez,F,1988-10-11,Ventes,Marseille,CDI,2025-07-28,,3659
161,Thérèse,Bonneau,F,1983-01-10,Ventes,Lyon,Stage,2023-04-17,,2517
162,Étienne,Colin,M,1998-02-18,Ventes,Marseille,CDI,2025-07-23,,3750
163,Margot,Munoz,F,1994-11-14,IT,Marseille,Stage,2023-08-28,,4011
164,Gilbert,Olivier,M,1971-08-02,Finance,Nantes,Stage,2025-05-03,,2625
165,Michèle,Julien,F,1968-07-25,IT,Marseille,CDI,2024-10-30,,3874
166,Christine,Lemonnier,F,1976-07-27,Ventes,Lyon,CDI,2022-07-30,2023-09-18,3488
167,Laurence,Le Roux,F,1967-07-23,IT,Paris,Alternance,2022-12-17,,3775
168,Zoé,Lefebvre,F,1971-12-04,Marketing,Marseille,Alternance,2024-09-26,,4527
169,Nicolas,Gros,M,1970-12-03,Ventes,Lille,Stage,2024-01-24,,3028
170,Franck,Marchand,M,1999-07-29,Finance,Paris,CDI,2025-02-01,,2672
171,Agnès,Marion,F,1970-03-03,Finance,Paris,CDI,2022-12-18,,2577
172,Claude,Denis,F,1971-12-28,Ventes,Marseille,CDI,2023-08-26,,2628
173,Bernard,Durand,M,1988-04-28,Marketing,Marseille,CDI,2024-05-03,2025-02-08,3146
174,Thibaut,Andre,M,1986-05-12,Marketing,Lyon,CDI,2022-06-06,,3438
175,Michèle,Delorme,F,1985-05-20,IT,Marseille,Alternance,2023-06-27,,3393
176,Gilbert,Lemoine,M,2001-01-26,Ops,Lille,CDI,2024-10-12,,3779
177,Aurélie,Barbier,F,1995-02-01,Ventes,Lille,CDI,2023-07-30,,3209
178,Diane,Weiss,F,2002-06-01,Finance,Marseille,CDI,2024-12-21,,4217
179,Pauline,Masse,F,1971-02-15,Ventes,Marseille,CDI,2022-08-07,,3014
180,Guillaume,Rousset,M,1973-04-06,IT,Lille,CDD,2025-04-24,,5104
181,Émile,Carre,M,1966-08-07,Ventes,Lyon,CDI,2024-04-06,,3637
182,Eugène,Guyon,M,1994-08-03,Ops,Paris,CDI,2022-03-27,,2599
183,Inès,Cohen,F,2001-02-08,IT,Paris,Alternance,2025-03-31,,2450
184,Zoé,Normand,F,1997-06-17,RH,Lyon,CDD,2022-12-18,,3537
185,Aurore,Fernandez,F,1994-09-28,Ops,Lyon,CDI,2023-07-30,,3043
186,Josette,Leclercq,F,1998-01-02,Ventes,Lille,CDD,2022-08-07,,3699
187,Patricia,Rocher,F,1995-05-30,RH,Lyon,Alternance,2025-08-03,,3531
188,Maryse,Pages,F,1981-09-25,IT,Lille,CDI,2022-08-07,,3149
189,Sabine,Gallet,F,1986-08-17,RH,Lille,CDI,2023-12-12,,2607
190,Alice,Guyot,F,1992-03-26,IT,Lille,CDI,2025-01-17,,2139
191,Stéphane,Lebreton,M,1985-04-10,Marketing,Nantes,CDI,2022-03-26,,2887
192,Julien,Monnier,M,1977-06-25,Marketing,Marseille,Alternance,2022-08-15,,3799
193,Brigitte,Meunier,F,1994-08-29,Finance,Paris,Alternance,2023-01-05,,3349
194,Olivie,Lefèvre,F,1985-11-27,Finance,Lyon,Alternance,2024-04-16,,2327
195,Charles,Dumont,M,1991-06-15,Ventes,Nantes,CDI,2025-06-12,,3321
196,Stéphane,Ledoux,M,1992-02-15,IT,Marseille,CDI,2023-05-02,,3469
197,Luce,Fournier,F,1987-10-24,Ventes,Marseille,Stage,2025-07-29,,2581
198,Josette,Leconte,F,1979-03-17,Marketing,Lille,CDI,2024-04-16,,3307
199,Claudine,Bernard,F,2003-01-10,RH,Marseille,CDI,2022-07-14,,3240
200,Charles,Gros,M,1966-09-16,Marketing,Paris,CDI,2024-09-04,,2399
201,Suzanne,Boulanger,F,1981-10-28,RH,Nantes,CDI,2022-04-17,,3450
202,René,Petitjean,M,1996-11-22,IT,Lyon,CDI,2024-03-23,,3592
203,René,Martineau,M,1994-10-31,Marketing,Lille,Alternance,2025-03-03,,3958
204,Benoît,Lebrun,M,1965-03-07,Marketing,Lyon,CDI,2022-03-20,,3937
205,Raymond,Pires,M,1978-07-09,IT,Lyon,CDI,2024-11-30,,2235
206,Hugues,Lévêque,M,1970-05-31,RH,Marseille,CDI,2024-03-22,2024-11-04,2543
207,Jacques,Leleu,M,1977-07-07,IT,Nantes,CDI,2023-09-14,,3560
208,Laure,Boulay,F,1968-01-30,Ops,Paris,CDD,2024-01-29,,3559
209,Alexandrie,François,F,1999-04-28,Ops,Paris,Stage,2024-03-22,,3560
210,Alix,Pons,F,1987-07-04,Finance,Marseille,CDI,2025-07-29,,5896
211,Alain,Marchand,M,1992-09-27,RH,Lyon,CDI,2023-01-24,,3599
212,Michelle,Hoareau,F,1975-08-27,Marketing,Lille,CDI,2023-03-24,,3994
213,Marie,Guérin,F,1984-10-01,IT,Nantes,CDD,2024-04-10,2025-03-30,3867
214,Olivier,Moreau,M,1972-11-12,IT,Marseille,CDI,2022-08-04,,3655
215,Agnès,Leroy,F,1977-11-04,IT,Lille,CDI,2023-07-19,,2979
216,Geneviève,Brunel,F,1966-05-14,RH,Marseille,CDI,2023-11-16,,3731
217,Émile,Guérin,M,1988-08-11,IT,Lille,CDD,2022-05-03,2023-03-16,2659
218,Théodore,Gallet,M,1982-04-06,Marketing,Lille,CDI,2024-04-29,,3034
219,Thérèse,Meunier,F,1972-12-05,IT,Marseille,Alternance,2025-03-13,,2860
220,Éric,Collet,M,1982-07-06,Marketing,Lille,CDI,2024-04-01,,3257
